Lot_Wafer_ID,Step1_EQ1,Step1_R1,Step1_R2,Step1_R3,Step1_D1,Step2_EQ1,Step2_R1,Step2_D1,Step3_EQ1,Step3_EQ2,Step3_EQ3,Step3_R1,Step3_R2,Step3_R3,Step3_D1,Step3_D2,Step4_EQ1,Step4_R1,Step4_R2,Step4_R3,Step4_D1,Step4_D2,Step4_D3,Step5_EQ1,Step5_EQ2,Step5_R1,Step5_R2,Step5_R3,Step5_D1,Step5_D2,Step5_D3,Step6_EQ1,Step6_EQ2,Step6_EQ3,Step6_R1,Step6_R2,Step6_R3,Step6_D1,Step6_D2,Step7_EQ1,Step7_R1,Step7_R2,Step7_D1,Step8_EQ1,Step8_R1,Step8_R2,Step8_D1,Step9_EQ1,Step9_EQ2,Step9_R1,Step9_R2,Step9_R3,Step9_D1,Step9_D2,Step9_D3,Step10_EQ1,Step10_EQ2,Step10_EQ3,Step10_R1,Step10_R2,Step10_D1,Step10_D2,Step10_D3,Step11_EQ1,Step11_EQ2,Step11_R1,Step11_D1,Step11_D2,Step12_EQ1,Step12_R1,Step12_R2,Step12_D1,Step13_EQ1,Step13_R1,Step13_R2,Step13_R3,Step13_D1,Step13_D2,Step13_D3,Step14_EQ1,Step14_R1,Step14_R2,Step14_D1,Step14_D2,Step15_EQ1,Step15_R1,Step15_R2,Step15_D1,Step15_D2,Step15_D3,Step16_EQ1,Step16_EQ2,Step16_R1,Step16_D1,Step16_D2,Step17_EQ1,Step17_EQ2,Step17_EQ3,Step17_R1,Step17_D1,Step17_D2,Step17_D3,Step18_EQ1,Step18_R1,Step18_R2,Step18_R3,Step18_D1,Step18_D2,Step19_EQ1,Step19_EQ2,Step19_R1,Step19_D1,Step19_D2,Step20_EQ1,Step20_EQ2,Step20_EQ3,Step20_R1,Step20_D1,Step20_D2,Step21_EQ1,Step21_EQ2,Step21_EQ3,Step21_R1,Step21_R2,Step21_D1,Step22_EQ1,Step22_EQ2,Step22_R1,Step22_R2,Step22_R3,Step22_D1,Step23_EQ1,Step23_R1,Step23_R2,Step23_D1,Step24_EQ1,Step24_R1,Step24_R2,Step24_D1,Step25_EQ1,Step25_R1,Step25_D1,Step26_EQ1,Step26_EQ2,Step26_R1,Step26_R2,Step26_R3,Step26_D1,Step26_D2,Step26_D3,Step27_EQ1,Step27_R1,Step27_R2,Step27_R3,Step27_D1,Step27_D2,Step28_EQ1,Step28_EQ2,Step28_R1,Step28_R2,Step28_R3,Step28_D1,Step28_D2,Step29_EQ1,Step29_R1,Step29_R2,Step29_R3,Step29_D1,Step29_D2,Step30_EQ1,Step30_EQ2,Step30_R1,Step30_R2,Step30_R3,Step30_D1,Step30_D2,Step30_D3,Y,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
L013W07,Model2_EQB_CH2,1515.972944,,,,Model1_EQB_CH2,1007.336577,11,Model1_EQD_CH2,Model2_EQB_CH1,Model2_EQA_CH3,,142.2016237,2532.325044,8,15,Model2_EQD_CH4,2658.069005,1553.536904,2860.53288,15,,7,Model2_EQD_CH1,Model2_EQD_CH4,2170.697328,,2971.385994,,7,9,Model1_EQB_CH2,Model1_EQD_CH4,Model2_EQC_CH3,,,156.3170437,,10,Model1_EQD_CH1,,728.8195913,9,Model2_EQB_CH4,1789.481187,938.6284312,,Model2_EQA_CH2,Model2_EQE_CH2,2830.460312,2199.712662,2416.105703,8,,,Model1_EQC_CH3,Model1_EQC_CH1,Model1_EQC_CH1,2577.961749,793.5689283,,,,Model2_EQE_CH1,Model2_EQC_CH4,2273.064331,,,Model1_EQD_CH2,,,11,Model2_EQD_CH3,5870.873213,,,,6,,Model1_EQB_CH1,1048.446617,,9,7,Model1_EQC_CH1,1632.547085,437.0461338,7,,10,Model1_EQB_CH3,Model1_EQC_CH3,1223.365377,9,,Model1_EQA_CH1,Model1_EQE_CH4,Model1_EQC_CH4,2217.186746,11,9,15,Model1_EQE_CH3,1299.995964,,128.724621,7,12,Model1_EQC_CH3,Model2_EQB_CH2,,,10,Model2_EQA_CH2,Model2_EQD_CH2,Model1_EQA_CH3,3282.547634,,,Model2_EQE_CH2,Model2_EQB_CH4,Model1_EQE_CH2,2929.320899,1976.500581,,Model2_EQA_CH2,Model1_EQB_CH4,342.0555678,,1629.669047,8,Model2_EQA_CH4,,,,Model2_EQD_CH2,,,10,Model2_EQD_CH3,128.7849045,,Model2_EQC_CH4,Model1_EQC_CH1,,1221.784598,,11,,,Model2_EQB_CH1,,2406.533145,,10,9,Model2_EQA_CH4,Model1_EQE_CH2,1193.794549,889.9992821,437.8170074,,,Model2_EQA_CH3,1449.965134,,2368.327839,,,Model1_EQB_CH2,Model2_EQD_CH4,2872.639572,2429.976507,1341.159793,,,6,82.2,4.1,4.6,2.1,0.4,6.6,49,319,119,73,142
L013W08,Model2_EQB_CH2,1392.459645,914.2974084,,14,Model1_EQE_CH2,,9,Model1_EQE_CH4,Model2_EQB_CH1,Model2_EQA_CH3,,142.018438,2586.547787,,10,Model2_EQD_CH4,2344.476539,,2226.699149,,9,,Model2_EQD_CH1,Model1_EQB_CH4,1878.363492,1714.033851,2694.851833,,10,6,Model2_EQC_CH1,Model1_EQD_CH4,Model2_EQC_CH3,,,,,,Model1_EQD_CH1,2628.009128,639.734549,14,Model2_EQB_CH4,,,12,Model2_EQA_CH2,Model2_EQE_CH2,,,,,,12,Model1_EQC_CH3,Model1_EQC_CH1,Model2_EQD_CH1,2151.51784,777.406419,10,,13,Model2_EQE_CH1,Model2_EQC_CH4,2787.596172,15,,Model1_EQD_CH2,,,,Model1_EQB_CH1,1917.465302,,,,,,Model2_EQB_CH2,1161.627809,2805.706036,,6,Model1_EQC_CH1,1596.594587,528.0733338,7,10,10,Model1_EQB_CH3,Model1_EQC_CH3,1279.279133,5,,Model2_EQD_CH2,Model1_EQE_CH4,Model1_EQC_CH4,,12,10,,Model1_EQE_CH3,1447.194554,,,13,15,Model1_EQC_CH3,Model1_EQA_CH2,2280.902985,13,7,Model2_EQA_CH2,Model1_EQC_CH4,Model1_EQA_CH3,2800.461075,,,Model1_EQC_CH4,Model2_EQB_CH4,Model1_EQA_CH1,,1629.68818,,Model2_EQA_CH2,Model1_EQE_CH2,348.5101235,620.17037,1433.431708,,Model2_EQA_CH4,,1714.145399,18,Model1_EQA_CH3,1502.018825,,5,Model2_EQD_CH3,136.9841097,14,Model2_EQE_CH2,Model1_EQC_CH1,,1212.355083,,11,13,11,Model2_EQB_CH1,378.4215087,1684.17607,,5,11,Model2_EQA_CH4,Model1_EQE_CH2,,867.682279,381.5403731,,7,Model1_EQE_CH1,,1975.549142,2232.500733,13,11,Model1_EQB_CH2,Model2_EQD_CH4,,2681.507494,,,,8,92.1,0.9,2.1,0.9,2.1,1.9,51,307,113,66,148
L013W09,Model2_EQB_CH2,,,2168.256497,,Model2_EQD_CH3,944.1432877,,Model1_EQE_CH4,Model2_EQB_CH1,Model1_EQE_CH1,,,2432.476251,,10,Model2_EQD_CH4,2255.377526,,2348.388853,10,,4,Model2_EQD_CH1,Model2_EQD_CH4,,1539.6095,2644.193792,5,,14,Model2_EQC_CH1,Model1_EQD_CH4,Model2_EQE_CH4,1498.862035,711.0992887,,4,10,Model1_EQD_CH1,,,13,Model2_EQB_CH4,1462.56882,872.263711,5,Model2_EQA_CH2,Model1_EQE_CH3,3261.987919,2389.371117,2662.783888,,10,14,Model1_EQC_CH3,Model1_EQC_CH1,Model1_EQC_CH4,,822.9975297,10,,,Model2_EQD_CH4,Model2_EQC_CH4,,8,,Model1_EQA_CH3,2281.176179,1465.349642,,Model2_EQE_CH3,,410.2618103,,9,9,11,Model2_EQA_CH4,1089.862287,2637.031389,,9,Model2_EQC_CH1,,,,,,Model1_EQB_CH3,Model1_EQC_CH3,1335.665916,,14,Model2_EQD_CH2,Model1_EQE_CH4,Model1_EQC_CH4,1964.508997,,,16,Model1_EQE_CH3,1348.036363,1454.431433,110.351205,11,,Model1_EQC_CH3,Model1_EQA_CH2,1785.181026,12,,Model2_EQA_CH2,Model1_EQC_CH4,Model1_EQA_CH3,,,,Model2_EQE_CH2,Model2_EQB_CH4,Model2_EQA_CH2,2732.968606,,,Model2_EQA_CH2,Model1_EQB_CH4,333.7953878,,1144.484884,12,Model2_EQB_CH3,,1772.064658,13,Model2_EQD_CH2,1405.156176,,10,Model2_EQD_CH3,114.08955,10,Model2_EQC_CH4,Model1_EQC_CH1,1175.525764,,1014.636916,11,8,,Model2_EQB_CH1,299.0583765,,2324.43964,7,,Model2_EQA_CH4,Model1_EQA_CH4,1297.330111,,,,,Model2_EQD_CH1,1326.412757,1957.016219,2443.812806,,,Model2_EQD_CH3,Model2_EQD_CH4,,2753.800081,1205.350942,,,,82.9,3,3.7,5.8,2,2.6,47,295,112,69,157
L013W10,Model2_EQB_CH2,1411.762534,770.8480138,2739.367641,,Model1_EQE_CH2,,12,Model1_EQE_CH4,Model2_EQB_CH1,Model2_EQA_CH3,2251.557609,,2618.347277,8,11,Model1_EQC_CH2,2368.477962,1391.732079,,7,,,Model2_EQD_CH1,Model2_EQD_CH4,,1778.076293,3533.229985,15,8,10,Model2_EQC_CH1,Model1_EQB_CH3,Model2_EQC_CH3,,648.5095471,149.2279161,,12,Model1_EQD_CH1,1953.22882,,,Model2_EQB_CH4,2011.252772,907.4575351,7,Model2_EQA_CH2,Model2_EQE_CH2,2985.50825,2237.660797,2498.068507,,,7,Model1_EQC_CH3,Model1_EQC_CH1,Model2_EQD_CH1,,737.6203241,,8,,Model1_EQD_CH3,Model2_EQC_CH4,,,10,Model1_EQD_CH2,2312.122523,,8,Model2_EQE_CH1,,,2942.392028,12,,,Model1_EQB_CH1,842.9491741,2622.881694,,14,Model2_EQD_CH1,1929.734822,,,6,7,Model1_EQD_CH3,Model1_EQC_CH3,,,,Model2_EQD_CH2,Model2_EQE_CH4,Model1_EQC_CH4,,,19,,Model1_EQC_CH3,1687.989411,1480.113328,128.2531159,9,,Model2_EQE_CH3,Model1_EQA_CH2,2201.383503,8,,Model2_EQA_CH2,Model1_EQC_CH4,Model1_EQA_CH3,,9,,Model2_EQE_CH2,Model2_EQB_CH4,Model1_EQE_CH2,2625.460249,1736.001916,7,Model2_EQA_CH2,Model1_EQB_CH4,301.0013688,,1122.549953,12,Model2_EQA_CH4,806.9309057,,,Model2_EQD_CH2,1760.951778,,11,Model2_EQD_CH3,,,Model2_EQC_CH4,Model1_EQC_CH1,989.4449524,1292.213879,,3,11,9,Model2_EQB_CH1,315.0274754,2431.769276,,,,Model2_EQA_CH4,Model1_EQA_CH3,1288.855549,,,10,16,Model1_EQE_CH1,1211.049219,2195.830219,,7,8,Model1_EQB_CH2,Model2_EQE_CH1,,2564.717411,,,,,90.7,0.4,1.6,0.4,4,2.9,43,345,135,86,135
L013W11,Model2_EQB_CH2,,,,,Model2_EQD_CH2,900.4654431,,Model1_EQE_CH4,Model1_EQD_CH4,Model1_EQC_CH4,,150.0322269,2953.30122,11,9,Model2_EQD_CH4,2318.507378,,2296.400523,10,8,,Model2_EQD_CH1,Model2_EQD_CH4,,1488.960415,,,11,,Model2_EQC_CH1,Model1_EQD_CH4,Model2_EQC_CH3,1510.198078,,,,,Model1_EQD_CH1,2560.419377,585.8119284,,Model2_EQB_CH4,1308.111511,810.9647779,9,Model2_EQA_CH2,Model1_EQE_CH2,2620.201402,2523.851842,2885.288347,,,11,Model1_EQD_CH4,Model2_EQE_CH4,Model2_EQD_CH1,,942.6799115,14,,,Model2_EQE_CH1,Model2_EQC_CH4,,,,Model1_EQD_CH2,2503.669622,1364.04442,9,Model1_EQB_CH1,,,,14,,,Model1_EQB_CH1,,2646.46898,,,Model1_EQC_CH1,,,8,12,,Model2_EQE_CH1,Model1_EQC_CH3,,,8,Model2_EQD_CH2,Model1_EQE_CH4,Model2_EQE_CH2,1989.396536,11,,10,Model1_EQE_CH3,1374.408493,1560.444371,106.8149623,16,,Model1_EQC_CH3,Model2_EQE_CH2,,13,8,Model1_EQE_CH3,Model1_EQC_CH4,Model1_EQA_CH3,2917.434205,3,,Model2_EQE_CH2,Model1_EQB_CH3,Model1_EQE_CH2,2631.375334,8685.578332,14,Model2_EQB_CH4,Model1_EQB_CH4,403.6074682,,,,Model1_EQE_CH1,843.0483096,,,Model2_EQD_CH2,,80.98034599,7,Model2_EQD_CH3,,,Model2_EQC_CH4,Model1_EQC_CH1,1354.820157,1287.037848,,7,,,Model2_EQB_CH1,,,1995.167482,5,,Model2_EQB_CH3,Model1_EQE_CH2,1275.497907,1010.059853,339.0687231,,,Model1_EQE_CH1,1386.292564,,2653.677389,7,11,Model1_EQD_CH4,Model2_EQD_CH4,,2520.247509,,9,7,15,85.1,2.3,1.9,3.7,4,3,47,290,114,88,159
L013W12,Model2_EQB_CH2,1470.357974,969.6104759,2138.544683,,Model1_EQE_CH2,966.1623595,,Model1_EQE_CH4,Model2_EQB_CH1,Model2_EQA_CH3,1826.064731,146.5924059,2339.465396,9,8,Model1_EQB_CH4,,,1903.142433,,12,,Model2_EQA_CH4,Model2_EQD_CH4,1798.345585,1705.642966,2599.034627,,6,,Model2_EQC_CH1,Model1_EQD_CH4,Model2_EQC_CH3,1368.19412,828.9039488,,,,Model1_EQD_CH1,,604.4860434,10,Model2_EQC_CH4,,,10,Model2_EQA_CH2,Model2_EQE_CH2,2633.990681,2035.211831,2583.667567,,13,5,Model1_EQC_CH3,Model1_EQC_CH1,Model2_EQD_CH1,2451.195574,,,,,Model2_EQE_CH1,Model1_EQA_CH2,2667.05992,13,,Model1_EQD_CH2,2479.006938,,7,Model1_EQB_CH1,1954.891094,,,7,,,Model1_EQB_CH1,-997.0817828,,,12,Model1_EQC_CH1,1451.67412,569.8040823,10,,10,Model1_EQB_CH3,Model1_EQC_CH3,1219.481583,,10,Model2_EQD_CH2,Model1_EQE_CH4,Model1_EQC_CH4,,4,5,,Model1_EQE_CH3,1721.317672,1417.972074,124.4781251,15,18,Model1_EQC_CH3,Model1_EQA_CH2,2141.745926,10,7,Model2_EQA_CH2,Model1_EQC_CH4,Model1_EQE_CH3,3109.042265,11,5,Model1_EQB_CH2,Model2_EQB_CH4,Model2_EQB_CH1,2866.653778,,7,Model1_EQE_CH2,Model1_EQB_CH4,314.1439052,,,,Model2_EQC_CH4,815.288777,,15,Model2_EQD_CH2,,,,Model2_EQD_CH3,127.5306095,6,Model2_EQE_CH3,Model1_EQC_CH1,1058.970545,-1265.930639,,10,9,9,Model2_EQB_CH1,,2140.501414,2413.438317,4,13,Model2_EQA_CH4,Model1_EQE_CH2,,908.6494342,,8,,Model2_EQB_CH3,1395.878075,1882.377829,2557.781047,,,Model1_EQE_CH2,Model2_EQD_CH4,2749.638784,2903.720108,1334.734608,12,9,,16.9,20.2,17.3,25.6,14.4,5.6,41,313,123,83,156
L013W13,Model2_EQB_CH2,,,2249.592534,15,Model1_EQE_CH2,962.5902622,,Model1_EQE_CH4,Model2_EQB_CH1,Model2_EQA_CH3,1666.644402,157.2118905,2498.967495,,,Model2_EQD_CH4,,,2559.010594,,4,,Model2_EQC_CH3,Model2_EQD_CH4,,,2355.573737,13,15,,Model2_EQC_CH1,Model1_EQD_CH4,Model2_EQC_CH1,1363.606348,657.3194485,,10,,Model1_EQD_CH1,2208.398058,592.8367015,11,Model2_EQB_CH4,,884.9355777,,Model2_EQD_CH3,Model2_EQE_CH2,,2501.255504,2626.369058,,10,12,Model1_EQC_CH3,Model1_EQC_CH1,Model2_EQE_CH1,2274.841478,,,7,,Model2_EQE_CH1,Model2_EQC_CH4,,8,7,Model1_EQD_CH2,,,7,Model1_EQB_CH1,,396.6838223,,9,12,,Model1_EQB_CH1,,2436.671619,14,,Model1_EQC_CH1,,,10,10,,Model1_EQB_CH3,Model1_EQC_CH3,976.5876845,7,,Model1_EQD_CH2,Model1_EQE_CH4,Model1_EQC_CH4,1797.737194,8,,11,Model1_EQE_CH3,1713.995776,1404.191667,121.7622143,,,Model1_EQC_CH3,Model1_EQA_CH2,,,9,Model2_EQA_CH2,Model1_EQC_CH4,Model1_EQA_CH3,,,,Model2_EQE_CH2,Model2_EQB_CH4,Model1_EQE_CH2,2483.083394,1599.796326,,Model2_EQA_CH2,Model1_EQB_CH4,-328.0277778,-649.5462801,1327.906391,,Model1_EQA_CH3,868.1250607,,5,Model2_EQD_CH2,2135.290548,83.11525535,7,Model2_EQD_CH3,,11,Model2_EQC_CH4,Model1_EQC_CH1,,1192.805907,,9,,9,Model2_EQB_CH1,,2271.999566,,,8,Model2_EQA_CH4,Model1_EQE_CH2,1032.091842,997.0184702,347.3564676,12,,Model1_EQE_CH1,,1793.696595,2452.074236,10,15,Model1_EQB_CH2,Model2_EQD_CH4,2799.734215,,,13,12,6,84,1.3,1.3,7.6,2.7,3.1,44,306,116,99,158
L013W14,Model2_EQB_CH2,1581.822179,976.7942363,,9,Model1_EQE_CH2,956.5712851,9,Model1_EQE_CH4,Model2_EQB_CH1,Model2_EQA_CH3,1611.111672,,,,,Model2_EQD_CH4,,1411.340582,,9,12,9,Model2_EQD_CH1,Model2_EQD_CH4,2006.683561,1576.892079,3246.606886,11,,10,Model2_EQC_CH1,Model1_EQD_CH4,Model2_EQC_CH3,,,151.3129404,,,Model1_EQD_CH1,,544.981236,,Model2_EQB_CH4,1756.042201,991.3092479,,Model2_EQA_CH2,Model2_EQE_CH2,,2338.398405,2508.449881,4,,12,Model2_EQA_CH2,Model1_EQC_CH1,Model2_EQD_CH1,2301.183584,745.6961381,,15,,Model2_EQE_CH1,Model2_EQC_CH4,3109.913778,13,13,Model1_EQC_CH1,,,7,Model1_EQB_CH1,2075.810762,388.0008291,,10,5,,Model1_EQB_CH1,,,,,Model1_EQC_CH1,,412.3040869,16,11,,Model2_EQC_CH4,Model1_EQC_CH3,,,11,Model2_EQD_CH2,Model1_EQE_CH4,Model1_EQC_CH4,2240.899082,,,,Model1_EQE_CH3,1328.34074,,129.0716308,5,5,Model1_EQB_CH1,Model1_EQA_CH2,2258.456253,,,Model2_EQA_CH2,Model1_EQC_CH4,Model2_EQD_CH2,2431.189456,,6,Model2_EQE_CH2,Model2_EQB_CH4,Model2_EQE_CH3,,1558.963513,12,Model1_EQB_CH2,Model1_EQB_CH4,,686.1379322,,,Model2_EQA_CH4,,,,Model2_EQD_CH2,,,,Model2_EQD_CH3,,,Model2_EQC_CH4,Model1_EQC_CH1,,,1017.24176,10,14,,Model1_EQA_CH4,365.1401936,2261.240273,2223.57339,,4,Model2_EQA_CH4,Model1_EQE_CH2,,,413.8772484,,4,Model1_EQE_CH1,1363.937243,2294.791488,2632.292767,,,Model1_EQB_CH2,Model2_EQD_CH4,,,,16,12,,90.2,0.6,5.1,2.9,0.3,0.9,47,322,153,83,146
L013W15,Model2_EQB_CH2,1375.019148,,2536.252836,,Model1_EQE_CH2,1065.646638,14,Model1_EQE_CH4,Model2_EQB_CH1,Model2_EQA_CH3,,151.3343135,2667.035399,,9,Model2_EQD_CH4,2393.818564,,2609.129104,12,6,10,Model2_EQD_CH1,Model2_EQD_CH4,1763.081188,1724.320393,3013.823845,11,,,Model2_EQC_CH1,Model1_EQD_CH4,Model2_EQC_CH3,,,126.5626709,,8,Model1_EQD_CH1,2123.472261,558.9871738,,Model2_EQB_CH4,1559.645166,,11,Model2_EQC_CH2,Model2_EQE_CH2,3384.49929,,,9,5,11,Model1_EQC_CH3,Model1_EQC_CH1,Model2_EQD_CH1,2365.030316,,11,14,,Model1_EQB_CH3,Model2_EQC_CH4,2710.303078,9,12,Model1_EQD_CH2,1797.61488,,,Model1_EQB_CH1,,363.2609278,2676.845899,11,11,9,Model2_EQC_CH2,,2551.866096,11,8,Model2_EQE_CH4,1761.040582,403.7391966,11,,6,Model1_EQB_CH3,Model2_EQA_CH3,,,10,Model2_EQD_CH2,Model1_EQC_CH3,Model1_EQC_CH4,1754.986871,,8,7,Model1_EQE_CH3,1334.179075,1747.958667,123.2695637,,,Model1_EQA_CH3,Model1_EQE_CH4,2092.095623,,,Model2_EQA_CH2,Model1_EQC_CH4,Model1_EQB_CH1,2758.056905,,,Model2_EQE_CH2,Model2_EQB_CH4,Model1_EQE_CH2,,1939.865248,11,Model2_EQD_CH4,Model2_EQE_CH2,321.2063557,637.2402867,,,Model2_EQA_CH4,,,14,Model2_EQD_CH2,1799.312312,94.84553631,17,Model2_EQD_CH3,,,Model2_EQC_CH4,Model1_EQC_CH1,,,1206.039357,13,,,Model2_EQB_CH1,341.0258701,2097.839566,1998.86216,11,,Model2_EQA_CH4,Model1_EQE_CH2,1091.367054,,395.833664,,11,Model2_EQA_CH2,,1644.230922,,13,,Model1_EQB_CH2,Model2_EQD_CH4,,2378.741223,,8,,,84.7,3.3,0.5,2.3,0.8,8.4,40,305,134,77,144
L013W16,Model2_EQB_CH2,1467.316124,,2360.042686,,Model1_EQE_CH2,,,Model1_EQE_CH4,Model2_EQB_CH1,Model2_EQA_CH3,2230.890497,,2517.811997,10,12,Model2_EQD_CH4,,,2270.747404,,,13,Model2_EQA_CH4,Model2_EQD_CH4,,,,12,5,,Model2_EQC_CH1,Model1_EQD_CH4,Model2_EQC_CH3,,,,9,11,Model1_EQA_CH3,,,11,Model2_EQB_CH4,,,12,Model2_EQA_CH2,Model1_EQA_CH3,2901.150264,2348.514861,2858.181004,17,,,Model2_EQC_CH1,Model1_EQC_CH1,Model2_EQD_CH1,2416.745016,,,,,Model2_EQE_CH1,Model2_EQC_CH4,,9,12,Model1_EQD_CH2,2419.684284,1660.752213,7,Model1_EQB_CH1,1713.092899,,,14,,9,Model1_EQB_CH1,,,13,17,Model1_EQC_CH1,,,13,8,6,Model1_EQB_CH3,Model1_EQC_CH3,1189.402436,11,8,Model2_EQD_CH2,Model1_EQA_CH3,Model1_EQC_CH4,1831.800183,7,,8,Model1_EQE_CH3,1559.00503,,,13,,Model1_EQC_CH3,Model2_EQE_CH2,2230.462831,5,8,Model2_EQA_CH2,Model1_EQC_CH4,Model1_EQA_CH3,,,12,Model2_EQE_CH2,Model2_EQC_CH1,Model1_EQE_CH2,,,9,Model2_EQA_CH2,Model1_EQB_CH4,367.8856229,,,13,Model2_EQA_CH4,760.9726315,2033.42767,,Model2_EQD_CH2,1745.952503,63.57996869,,Model2_EQD_CH3,,,Model2_EQC_CH4,Model1_EQC_CH1,,,1326.783208,,,7,Model2_EQB_CH1,327.1849913,,2311.890514,,,Model1_EQB_CH1,Model1_EQE_CH2,,,,,,Model2_EQE_CH3,,2617.081195,2212.662719,,13,Model1_EQB_CH2,Model2_EQD_CH4,2989.623013,2563.315276,,14,,,79.3,1.1,2.2,9.8,2.2,5.4,55,295,117,75,157
L013W17,Model2_EQB_CH2,1670.488434,,2038.891772,9,Model1_EQE_CH2,879.6644727,,Model1_EQE_CH4,Model2_EQB_CH1,Model2_EQA_CH3,,140.7055835,2378.290196,,,Model2_EQD_CH4,2898.152457,,2623.993257,16,,,Model2_EQD_CH1,Model2_EQD_CH4,,,3482.698403,9,6,,Model2_EQC_CH1,Model1_EQD_CH4,Model2_EQC_CH3,,,,11,15,Model1_EQD_CH1,2034.046465,,8,Model2_EQB_CH4,1775.951965,,11,Model1_EQB_CH1,Model2_EQE_CH2,2398.657958,2577.557301,,12,15,10,Model1_EQC_CH3,Model1_EQC_CH1,Model2_EQD_CH1,2247.094455,841.204003,10,,9,Model2_EQE_CH1,Model2_EQC_CH4,2599.165573,,11,Model1_EQD_CH2,2008.100277,,7,Model1_EQB_CH1,,336.9233517,,6,3,13,Model1_EQB_CH1,,,7,,Model1_EQC_CH1,,492.9504223,7,,,Model1_EQB_CH3,Model1_EQC_CH3,1118.82014,18,,Model2_EQD_CH2,Model1_EQE_CH4,Model1_EQD_CH3,,12,10,12,Model1_EQE_CH3,,,121.6848299,,6,Model1_EQC_CH3,Model1_EQA_CH2,,,10,Model2_EQA_CH2,Model1_EQC_CH4,Model1_EQA_CH3,2915.158482,,12,Model2_EQE_CH2,Model2_EQD_CH2,Model2_EQB_CH4,2632.344074,1961.77515,,Model2_EQA_CH2,Model2_EQC_CH2,381.0504643,636.0558944,1270.654815,11,Model1_EQB_CH2,856.2834589,,11,Model2_EQD_CH2,,,,Model2_EQD_CH3,120.9311051,9,Model2_EQC_CH4,Model2_EQD_CH3,1231.56446,,,,8,13,Model2_EQB_CH1,297.2193869,2027.512974,2335.930095,,,Model1_EQB_CH4,Model1_EQE_CH2,1171.904939,,392.3260302,,,Model1_EQE_CH1,,1642.283186,2501.396856,,,Model1_EQB_CH2,Model2_EQD_CH4,,,1332.784933,6,14,6,83.5,3.2,1.1,7.1,0.1,5,44,299,121,71,152
L013W18,Model2_EQB_CH2,1761.331128,897.2203314,2390.103596,10,Model1_EQE_CH2,1036.088275,,Model1_EQE_CH4,Model2_EQB_CH1,Model2_EQA_CH3,1733.086294,157.5481975,2510.01105,,,Model2_EQD_CH4,2342.750254,1591.934507,2756.502598,13,,,Model2_EQA_CH4,Model1_EQC_CH3,,,2773.251733,,,8,Model2_EQD_CH2,Model1_EQE_CH2,Model2_EQC_CH3,1373.658145,832.5218152,,,,Model1_EQB_CH1,,,13,Model2_EQB_CH4,,985.1146124,,Model1_EQC_CH3,Model2_EQC_CH4,2678.980884,2148.755591,2717.051982,,14,9,Model1_EQC_CH3,Model1_EQC_CH1,Model2_EQD_CH1,2110.154439,,16,9,14,Model2_EQB_CH1,Model2_EQC_CH4,,10,,Model2_EQD_CH1,1830.313702,,,Model1_EQB_CH1,,,2720.113024,,10,11,Model1_EQB_CH1,1110.670923,1834.196085,13,,Model1_EQC_CH1,,511.8408386,4,14,,Model2_EQE_CH4,Model1_EQC_CH3,,,11,Model2_EQD_CH2,Model1_EQB_CH4,Model1_EQC_CH4,2312.024138,,,14,Model1_EQE_CH3,1695.225179,,,,,Model2_EQD_CH2,Model1_EQA_CH2,,,,Model2_EQA_CH2,Model1_EQC_CH4,Model1_EQA_CH3,,,9,Model2_EQE_CH2,Model2_EQB_CH4,Model1_EQE_CH2,2648.922189,1327.375747,,Model1_EQC_CH2,Model1_EQB_CH4,,595.8882519,,12,Model2_EQA_CH4,834.9791086,2000.634629,7,Model2_EQD_CH2,1724.768368,-79.12127758,5,Model2_EQD_CH3,131.2258878,,Model2_EQC_CH4,Model1_EQC_CH1,,981.4122853,,,,9,Model2_EQB_CH1,302.9989158,,2451.04473,,11,Model2_EQA_CH4,Model1_EQE_CH2,1151.42336,906.6455956,505.862562,12,,Model1_EQE_CH1,,2113.170153,,10,12,Model1_EQB_CH2,Model1_EQB_CH1,,,,10,,,82.2,3.7,4,2.3,3.2,4.6,38,299,110,79,158
