Lot_Wafer_ID,Step1_R1,Step1_R2,Step1_R3,Step1_EQ,Step2_R1,Step2_EQ,Step3_R1,Step3_D1,Step3_EQ,Step4_R1,Step4_R2,Step4_R3,Step4_EQ,Step5_R1,Step5_R2,Step5_EQ,Step6_R1,Step6_EQ,Step7_R1,Step7_D1,Step7_EQ,Step8_R1,Step8_EQ,Step9_R1,Step9_R2,Step9_R3,Step9_EQ,Step10_R1,Step10_D1,Step10_EQ,Step11_R1,Step11_R2,Step11_R3,Step11_EQ,Step12_R1,Step12_R2,Step12_R3,Step12_D1,Step12_EQ,Step13_R1,Step13_R2,Step13_R3,Step13_D1,Step13_EQ,Step14_R1,Step14_EQ,Step15_R1,Step15_R2,Step15_R3,Step15_EQ,Step16_R1,Step16_R2,Step16_EQ,Step17_R1,Step17_EQ,Step18_R1,Step18_D1,Step18_EQ,Step19_R1,Step19_D1,Step19_EQ,Step20_R1,Step20_D1,Step20_EQ,Step21_R1,Step21_D1,Step21_EQ,Step22_R1,Step22_R2,Step22_R3,Step22_EQ,Step23_R1,Step23_R2,Step23_R3,Step23_EQ,Step24_R1,Step24_EQ,Step25_R1,Step25_R2,Step25_R3,Step25_EQ,Step26_R1,Step26_EQ,Step27_R1,Step27_R2,Step27_R3,Step27_EQ,Step28_R1,Step28_R2,Step28_R3,Step28_EQ,Step29_R1,Step29_R2,Step29_R3,Step29_D1,Step29_EQ,Step30_R1,Step30_R2,Step30_R3,Step30_EQ,Y,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
L119W07,865.3420193,,1578.374849,Step1_Model1_EQA_CH1,1986.121498,Step2_Model1_EQD_CH4,2457.539367,10,Step3_Model2_EQB_CH4,985.5699598,665.3455421,836.5847961,Step4_Model2_EQB_CH4,926.4051498,1060.758836,Step5_Model2_EQB_CH4,,Step6_Model1_EQD_CH1,1898.660193,11,Step7_Model1_EQD_CH4,1570.157161,Step8_Model1_EQC_CH1,,1822.024722,2055.509592,Step9_Model2_EQA_CH2,718.9633834,11,Step10_Model1_EQC_CH2,1394.443202,,606.4795163,Step11_Model2_EQB_CH1,2119.818912,,1118.917315,,Step12_Model1_EQA_CH3,1151.286539,790.6906341,700.8794608,12,Step13_Model1_EQC_CH1,,Step14_Model2_EQD_CH3,2150.956422,,1893.287751,Step15_Model1_EQB_CH1,867.2999635,1190.092649,Step16_Model2_EQD_CH4,,Step17_Model1_EQC_CH3,2459.616733,,Step18_Model1_EQB_CH1,,,Step19_Model2_EQD_CH2,825.4578102,,Step20_Model1_EQB_CH2,,,Step21_Model2_EQC_CH3,,2402.995195,,Step22_Model1_EQC_CH1,,852.9727862,1183.820951,Step23_Model2_EQA_CH4,,Step24_Model2_EQD_CH2,,,1142.251862,Step25_Model1_EQB_CH3,,Step26_Model1_EQB_CH3,1665.597036,1851.12951,989.164506,Step27_Model2_EQB_CH2,,1739.69331,2289.576978,Step28_Model1_EQA_CH1,712.3261545,1306.687445,,,Step29_Model2_EQC_CH4,2428.174197,1238.442467,,Step30_Model2_EQC_CH3,0.6,20.1,19.7,21,18.4,20.2,6,9,98,20,538
L119W08,817.025733,2404.298907,1552.084343,Step1_Model1_EQA_CH3,,Step2_Model1_EQD_CH2,2429.788847,,Step3_Model2_EQB_CH2,864.971138,642.043945,,Step4_Model2_EQB_CH1,1030.51886,1063.626375,Step5_Model2_EQB_CH1,1045.629418,Step6_Model1_EQD_CH2,,,Step7_Model1_EQD_CH4,,Step8_Model1_EQC_CH3,727.5509588,1991.960917,2324.122914,Step9_Model2_EQA_CH1,825.5444739,,Step10_Model1_EQC_CH4,1401.611788,,589.1206514,Step11_Model2_EQB_CH2,2305.837962,1941.198127,936.367072,12,Step12_Model1_EQA_CH3,,721.6856116,739.163168,,Step13_Model1_EQC_CH4,,Step14_Model2_EQD_CH2,,662.6776121,1734.155361,Step15_Model1_EQB_CH4,981.5394927,,Step16_Model2_EQD_CH4,1945.845535,Step17_Model1_EQC_CH3,,,Step18_Model1_EQB_CH2,989.7225559,,Step19_Model2_EQD_CH3,,,Step20_Model1_EQB_CH1,2216.301517,17,Step21_Model2_EQC_CH4,,2350.936027,606.2386508,Step22_Model1_EQC_CH4,,,,Step23_Model2_EQA_CH1,1621.962587,Step24_Model2_EQD_CH1,945.7666112,1840.799208,,Step25_Model1_EQB_CH4,2200.163387,Step26_Model1_EQB_CH4,,,918.716787,Step27_Model2_EQB_CH4,,1552.522119,,Step28_Model1_EQA_CH3,,,1908.352337,,Step29_Model2_EQC_CH2,2625.269577,,1448.064412,Step30_Model2_EQC_CH4,44.1,12.2,12.7,10.1,10.7,10.2,18,37,68,0,193
L119W09,873.7518076,,,Step1_Model1_EQA_CH4,2180.949125,Step2_Model1_EQD_CH2,,,Step3_Model2_EQB_CH2,949.8051258,667.4152096,,Step4_Model2_EQB_CH1,,1011.22587,Step5_Model2_EQB_CH2,970.0253261,Step6_Model1_EQD_CH3,1955.185584,14,Step7_Model1_EQD_CH4,,Step8_Model1_EQC_CH1,,1871.030224,,Step9_Model2_EQA_CH3,717.8692975,9,Step10_Model1_EQC_CH1,1398.16505,,602.8429874,Step11_Model2_EQB_CH4,2003.356243,1972.73266,,,Step12_Model1_EQA_CH2,1219.505659,,674.501227,12,Step13_Model1_EQC_CH1,2410.754224,Step14_Model2_EQD_CH1,2169.589603,720.4213244,1888.577343,Step15_Model1_EQB_CH3,,1075.667878,Step16_Model2_EQD_CH2,1919.499854,Step17_Model1_EQC_CH3,2327.124348,,Step18_Model1_EQB_CH4,961.116626,,Step19_Model2_EQD_CH4,895.6213392,6,Step20_Model1_EQB_CH3,2168.535202,10,Step21_Model2_EQC_CH3,2222.066928,,648.7592151,Step22_Model1_EQC_CH1,,,1178.112324,Step23_Model2_EQA_CH1,1632.534354,Step24_Model2_EQD_CH3,,1990.851003,1174.314109,Step25_Model1_EQB_CH4,2272.721857,Step26_Model1_EQB_CH2,1681.699092,1684.615183,,Step27_Model2_EQB_CH2,,1555.157555,2441.52172,Step28_Model1_EQA_CH3,707.226725,,1933.484616,,Step29_Model2_EQC_CH4,2403.068286,,1440.45672,Step30_Model2_EQC_CH3,0,28,27.5,24.7,27.2,30.8,97,2,6,56,967
L119W10,781.0705378,2525.635441,1665.927709,Step1_Model1_EQA_CH2,2172.624628,Step2_Model1_EQD_CH2,2388.981836,9,Step3_Model2_EQB_CH4,908.6550387,714.6304378,820.6481535,Step4_Model2_EQB_CH3,975.546532,,Step5_Model2_EQB_CH4,1048.963424,Step6_Model1_EQD_CH3,1942.056123,,Step7_Model1_EQD_CH2,1659.68331,Step8_Model1_EQC_CH4,759.7993713,,2245.409407,Step9_Model2_EQA_CH1,,,Step10_Model1_EQC_CH3,1384.779322,698.4599091,609.5465344,Step11_Model2_EQB_CH4,2091.898975,1894.693511,1100.418632,10,Step12_Model1_EQA_CH3,1165.68437,,673.8663725,12,Step13_Model1_EQC_CH3,2283.695029,Step14_Model2_EQD_CH4,,,1822.41044,Step15_Model1_EQB_CH4,921.0432553,,Step16_Model2_EQD_CH1,,Step17_Model1_EQC_CH3,2473.732951,,Step18_Model1_EQB_CH3,1032.142371,13,Step19_Model2_EQD_CH3,790.0850161,5,Step20_Model1_EQB_CH3,2193.110875,8,Step21_Model2_EQC_CH2,,2565.762209,690.9828641,Step22_Model1_EQC_CH3,2503.437812,,1178.008242,Step23_Model2_EQA_CH1,,Step24_Model2_EQD_CH4,881.294296,,1142.705175,Step25_Model1_EQB_CH2,,Step26_Model1_EQB_CH4,1687.095478,1860.69655,,Step27_Model2_EQB_CH3,1998.733619,1667.08887,2109.058099,Step28_Model1_EQA_CH2,686.5642289,1467.255221,1707.99731,,Step29_Model2_EQC_CH1,2511.135218,,1370.361337,Step30_Model2_EQC_CH3,0.4,18.9,20.9,20.6,19.5,19.7,8,0,946,12,85
L119W11,792.7193665,2509.016325,1725.717848,Step1_Model1_EQA_CH3,2377.507824,Step2_Model1_EQD_CH1,2339.620177,9,Step3_Model2_EQB_CH4,,645.2923746,774.8443711,Step4_Model2_EQB_CH2,,1015.308738,Step5_Model2_EQB_CH3,,Step6_Model1_EQD_CH1,2009.738984,,Step7_Model1_EQD_CH1,1799.471618,Step8_Model1_EQC_CH3,669.0332185,1870.590659,2091.759792,Step9_Model2_EQA_CH3,,,Step10_Model1_EQC_CH1,,715.8718842,,Step11_Model2_EQB_CH3,2082.934656,1983.431967,,8,Step12_Model1_EQA_CH2,1135.106643,781.4221484,741.9432849,8,Step13_Model1_EQC_CH1,2266.795187,Step14_Model2_EQD_CH1,2065.0586,697.0669559,1843.04737,Step15_Model1_EQB_CH1,858.7923118,1158.763699,Step16_Model2_EQD_CH3,,Step17_Model1_EQC_CH1,2503.353617,,Step18_Model1_EQB_CH1,,,Step19_Model2_EQD_CH2,839.655941,,Step20_Model1_EQB_CH1,,,Step21_Model2_EQC_CH2,2047.601784,2558.556852,,Step22_Model1_EQC_CH3,2146.405556,922.0794887,1179.420748,Step23_Model2_EQA_CH4,1652.163639,Step24_Model2_EQD_CH1,949.4178596,1937.33892,1257.462892,Step25_Model1_EQB_CH3,2380.810875,Step26_Model1_EQB_CH3,1646.563854,1913.449337,862.4215748,Step27_Model2_EQB_CH4,,1621.481182,2273.620027,Step28_Model1_EQA_CH4,,1306.863081,,14,Step29_Model2_EQC_CH3,2425.993823,1245.418799,1513.370851,Step30_Model2_EQC_CH4,56,10.9,8.4,10.6,8.1,6,131,14,429,31,32
L119W12,,,,Step1_Model1_EQA_CH4,2282.909752,Step2_Model1_EQD_CH2,2409.555063,,Step3_Model2_EQB_CH4,,662.410917,872.4225634,Step4_Model2_EQB_CH2,962.5518598,1008.079149,Step5_Model2_EQB_CH1,1034.818459,Step6_Model1_EQD_CH1,1929.397605,11,Step7_Model1_EQD_CH3,1602.217284,Step8_Model1_EQC_CH4,,2017.195467,2134.316701,Step9_Model2_EQA_CH3,,13,Step10_Model1_EQC_CH3,1415.583532,665.2002073,598.2920048,Step11_Model2_EQB_CH2,1966.303056,2048.570578,1077.177884,,Step12_Model1_EQA_CH1,1151.774919,744.4966956,755.8895807,,Step13_Model1_EQC_CH2,,Step14_Model2_EQD_CH3,2065.972053,781.1374963,1878.400383,Step15_Model1_EQB_CH3,894.6300975,1043.40217,Step16_Model2_EQD_CH4,2064.174579,Step17_Model1_EQC_CH1,2212.195041,11,Step18_Model1_EQB_CH4,1061.323071,,Step19_Model2_EQD_CH3,815.0350492,,Step20_Model1_EQB_CH4,2442.023469,,Step21_Model2_EQC_CH3,,2290.418596,607.2519271,Step22_Model1_EQC_CH3,2449.159987,933.5078446,1239.712196,Step23_Model2_EQA_CH1,,Step24_Model2_EQD_CH3,940.0859517,1870.127799,,Step25_Model1_EQB_CH2,,Step26_Model1_EQB_CH1,1630.143857,1916.622679,972.7824932,Step27_Model2_EQB_CH2,2032.511955,,,Step28_Model1_EQA_CH4,632.0721586,1361.147144,,,Step29_Model2_EQC_CH1,,,1437.20049,Step30_Model2_EQC_CH2,0,25.3,23.8,21.4,24.1,20.7,8,126,1,310,64
L119W13,804.9369172,2410.126345,1699.770155,Step1_Model1_EQA_CH2,2326.00861,Step2_Model1_EQD_CH4,2409.650488,,Step3_Model2_EQB_CH3,956.5907288,697.1251189,,Step4_Model2_EQB_CH3,1084.59831,,Step5_Model2_EQB_CH1,1061.787941,Step6_Model1_EQD_CH1,1981.954902,,Step7_Model1_EQD_CH3,,Step8_Model1_EQC_CH4,743.0057513,1845.038105,,Step9_Model2_EQA_CH3,,,Step10_Model1_EQC_CH4,,649.4596323,,Step11_Model2_EQB_CH4,2256.194999,2149.235062,1072.423386,14,Step12_Model1_EQA_CH4,1066.16085,752.4115874,628.8799935,8,Step13_Model1_EQC_CH2,2268.63017,Step14_Model2_EQD_CH1,2082.795619,749.7153556,1935.749408,Step15_Model1_EQB_CH4,844.5916218,1085.434423,Step16_Model2_EQD_CH2,1767.176321,Step17_Model1_EQC_CH3,2204.859462,14,Step18_Model1_EQB_CH3,984.9928535,6,Step19_Model2_EQD_CH4,,,Step20_Model1_EQB_CH4,2396.679836,13,Step21_Model2_EQC_CH1,1981.551362,2634.564023,622.1423593,Step22_Model1_EQC_CH4,2447.296465,,,Step23_Model2_EQA_CH2,1574.99715,Step24_Model2_EQD_CH2,811.6756217,2054.662786,1167.382605,Step25_Model1_EQB_CH2,2276.729792,Step26_Model1_EQB_CH2,,1862.164542,898.4155606,Step27_Model2_EQB_CH4,2043.371046,1626.714224,2219.371911,Step28_Model1_EQA_CH4,764.3118717,1342.619142,1760.993882,20,Step29_Model2_EQC_CH4,2533.019725,,1522.99793,Step30_Model2_EQC_CH1,0,22.5,21.7,20.1,20.7,19,95,272,9,0,1
L119W14,783.1266311,,1715.344725,Step1_Model1_EQA_CH3,,Step2_Model1_EQD_CH1,2321.907089,12,Step3_Model2_EQB_CH4,893.7560757,668.9012677,756.01258,Step4_Model2_EQB_CH1,1034.432977,1061.407837,Step5_Model2_EQB_CH3,,Step6_Model1_EQD_CH4,1987.490695,16,Step7_Model1_EQD_CH2,1589.667704,Step8_Model1_EQC_CH2,771.4269478,1960.150551,2089.335781,Step9_Model2_EQA_CH2,770.9116208,,Step10_Model1_EQC_CH2,1517.417046,,586.157916,Step11_Model2_EQB_CH1,,2044.858505,,5,Step12_Model1_EQA_CH3,,833.339388,,,Step13_Model1_EQC_CH3,2548.051939,Step14_Model2_EQD_CH3,3118.47127,731.5352711,1894.937261,Step15_Model1_EQB_CH3,877.7714507,1244.274573,Step16_Model2_EQD_CH4,,Step17_Model1_EQC_CH3,2472.246306,9,Step18_Model1_EQB_CH4,937.6625751,,Step19_Model2_EQD_CH1,797.409332,,Step20_Model1_EQB_CH2,2331.513447,,Step21_Model2_EQC_CH4,1830.062528,2276.412926,625.2697217,Step22_Model1_EQC_CH1,2377.896912,,,Step23_Model2_EQA_CH4,1585.059063,Step24_Model2_EQD_CH1,,1994.162821,,Step25_Model1_EQB_CH2,,Step26_Model1_EQB_CH1,,1924.827853,946.7806424,Step27_Model2_EQB_CH1,1976.837124,,,Step28_Model1_EQA_CH3,763.2212019,,,6,Step29_Model2_EQC_CH4,,1338.936096,1368.884332,Step30_Model2_EQC_CH1,25.9,16.2,14.7,14,17.8,11.4,151,18,466,18,299
L119W15,877.3675465,2362.739078,1534.498245,Step1_Model1_EQA_CH2,2350.586423,Step2_Model1_EQD_CH4,2681.755627,10,Step3_Model2_EQB_CH2,906.826793,644.4611725,,Step4_Model2_EQB_CH2,1013.673031,1002.629773,Step5_Model2_EQB_CH4,1164.398376,Step6_Model1_EQD_CH1,2006.496477,5,Step7_Model1_EQD_CH3,,Step8_Model1_EQC_CH3,725.3428026,3426.719467,2344.489259,Step9_Model2_EQA_CH4,729.2973976,12,Step10_Model1_EQC_CH3,1425.780198,659.8629278,631.9803663,Step11_Model2_EQB_CH1,1967.82547,,,,Step12_Model1_EQA_CH2,1156.432215,,,,Step13_Model1_EQC_CH3,2185.627906,Step14_Model2_EQD_CH2,2020.873631,691.0179247,1811.471593,Step15_Model1_EQB_CH2,838.1144186,1135.422936,Step16_Model2_EQD_CH1,2094.157588,Step17_Model1_EQC_CH3,2318.695694,8,Step18_Model1_EQB_CH2,1034.482144,7,Step19_Model2_EQD_CH4,,,Step20_Model1_EQB_CH1,2474.167142,,Step21_Model2_EQC_CH1,2055.469118,2526.386445,581.6369883,Step22_Model1_EQC_CH3,,,1092.77582,Step23_Model2_EQA_CH2,,Step24_Model2_EQD_CH4,830.2514586,1952.089995,,Step25_Model1_EQB_CH2,2512.690803,Step26_Model1_EQB_CH1,1630.069728,1824.814349,,Step27_Model2_EQB_CH3,,,,Step28_Model1_EQA_CH4,684.2872846,1273.075043,2015.822641,,Step29_Model2_EQC_CH1,,1249.541809,,Step30_Model2_EQC_CH1,0,23.5,27.9,21.4,23.6,23.7,45,344,24,37,21
L119W16,816.1038821,2240.829112,1636.579414,Step1_Model1_EQA_CH4,2212.318079,Step2_Model1_EQD_CH1,2584.138033,,Step3_Model2_EQB_CH1,,,771.2788457,Step4_Model2_EQB_CH3,,1088.373573,Step5_Model2_EQB_CH1,936.3655856,Step6_Model1_EQD_CH1,1763.314605,7,Step7_Model1_EQD_CH3,1642.779756,Step8_Model1_EQC_CH4,732.1669881,1884.986781,,Step9_Model2_EQA_CH4,746.535888,11,Step10_Model1_EQC_CH1,1472.021725,,593.6155837,Step11_Model2_EQB_CH4,2167.668114,1991.420798,1083.558934,5,Step12_Model1_EQA_CH1,1129.943909,865.8480711,724.8533455,,Step13_Model1_EQC_CH3,2276.804151,Step14_Model2_EQD_CH2,2216.949016,698.818965,,Step15_Model1_EQB_CH1,907.4695554,1112.947387,Step16_Model2_EQD_CH3,1913.835866,Step17_Model1_EQC_CH2,2187.303246,10,Step18_Model1_EQB_CH1,,6,Step19_Model2_EQD_CH4,842.7402952,13,Step20_Model1_EQB_CH1,2147.947536,,Step21_Model2_EQC_CH1,,2313.259937,614.4675935,Step22_Model1_EQC_CH2,2410.487519,,1278.151446,Step23_Model2_EQA_CH2,1480.579443,Step24_Model2_EQD_CH4,865.5008757,1927.322764,1154.076948,Step25_Model1_EQB_CH4,2409.071863,Step26_Model1_EQB_CH4,1590.179971,1783.426025,,Step27_Model2_EQB_CH2,1791.080005,1612.484747,,Step28_Model1_EQA_CH4,654.5104969,1258.803295,,7,Step29_Model2_EQC_CH2,,1288.69979,1426.908395,Step30_Model2_EQC_CH4,0,37.5,39.3,35,37.7,34.5,72,634,14,1,39
L119W17,841.3776308,,1680.747752,Step1_Model1_EQA_CH1,,Step2_Model1_EQD_CH3,2540.160424,9,Step3_Model2_EQB_CH2,935.2388044,657.8077389,809.9961553,Step4_Model2_EQB_CH3,942.2575847,,Step5_Model2_EQB_CH4,,Step6_Model1_EQD_CH2,1951.235825,10,Step7_Model1_EQD_CH1,1810.475618,Step8_Model1_EQC_CH3,790.7268172,2137.913276,2230.776953,Step9_Model2_EQA_CH3,,,Step10_Model1_EQC_CH4,1550.605069,621.4093789,,Step11_Model2_EQB_CH2,2039.549005,,1030.4727,10,Step12_Model1_EQA_CH1,1835.545339,,710.9484621,,Step13_Model1_EQC_CH1,2336.287582,Step14_Model2_EQD_CH3,2034.027475,760.426992,,Step15_Model1_EQB_CH3,,1140.978999,Step16_Model2_EQD_CH4,2009.754796,Step17_Model1_EQC_CH3,,8,Step18_Model1_EQB_CH4,982.9832141,7,Step19_Model2_EQD_CH1,,,Step20_Model1_EQB_CH4,2241.221754,,Step21_Model2_EQC_CH1,,2378.969641,,Step22_Model1_EQC_CH2,2260.812512,955.5633552,1127.583271,Step23_Model2_EQA_CH1,1699.78399,Step24_Model2_EQD_CH1,,1813.818679,,Step25_Model1_EQB_CH2,2218.011045,Step26_Model1_EQB_CH4,,,,Step27_Model2_EQB_CH2,1910.207574,1534.328688,2393.199563,Step28_Model1_EQA_CH4,,,,,Step29_Model2_EQC_CH4,,1352.448111,1416.609285,Step30_Model2_EQC_CH2,35.7,15.9,12.8,12.4,11.7,11.5,9,137,194,2,45
L119W18,,,,Step1_Model1_EQA_CH4,2309.325463,Step2_Model1_EQD_CH4,2436.448945,15,Step3_Model2_EQB_CH4,918.8480495,,760.160742,Step4_Model2_EQB_CH3,930.7407538,,Step5_Model2_EQB_CH3,1094.476145,Step6_Model1_EQD_CH3,2212.980361,,Step7_Model1_EQD_CH4,,Step8_Model1_EQC_CH1,,,2232.452849,Step9_Model2_EQA_CH4,,,Step10_Model1_EQC_CH3,1355.990365,679.9275385,,Step11_Model2_EQB_CH1,,2162.7012,,,Step12_Model1_EQA_CH2,,791.703388,,13,Step13_Model1_EQC_CH1,,Step14_Model2_EQD_CH1,2045.425913,,1887.890212,Step15_Model1_EQB_CH1,819.5341156,1116.247839,Step16_Model2_EQD_CH1,,Step17_Model1_EQC_CH2,,9,Step18_Model1_EQB_CH4,1001.836061,10,Step19_Model2_EQD_CH2,,10,Step20_Model1_EQB_CH4,2306.854109,,Step21_Model2_EQC_CH2,2046.154866,2830.515153,630.0996673,Step22_Model1_EQC_CH2,2460.041252,,1228.551041,Step23_Model2_EQA_CH3,1564.911612,Step24_Model2_EQD_CH2,909.4616799,2169.023865,,Step25_Model1_EQB_CH1,2116.639388,Step26_Model1_EQB_CH1,1632.397916,,914.1541041,Step27_Model2_EQB_CH3,2017.999357,1657.992916,,Step28_Model1_EQA_CH3,676.689476,,1887.713639,16,Step29_Model2_EQC_CH1,2296.946105,1286.969014,,Step30_Model2_EQC_CH2,0,27.8,28.7,27.8,26.9,24.6,0,0,11,1,77
L119W19,751.5407931,2638.118997,1607.559611,Step1_Model1_EQA_CH3,2184.180431,Step2_Model1_EQD_CH2,2469.488302,13,Step3_Model2_EQB_CH1,888.8491032,661.0469059,838.7518656,Step4_Model2_EQB_CH2,1024.097437,,Step5_Model2_EQB_CH3,,Step6_Model1_EQD_CH1,1850.796441,8,Step7_Model1_EQD_CH2,1713.88769,Step8_Model1_EQC_CH1,719.9129976,,,Step9_Model2_EQA_CH1,,,Step10_Model1_EQC_CH3,1480.413038,,615.2903291,Step11_Model2_EQB_CH1,2278.700479,2017.582157,1140.494184,14,Step12_Model1_EQA_CH1,1149.848867,799.8062139,,,Step13_Model1_EQC_CH2,2472.560492,Step14_Model2_EQD_CH3,,712.3899366,,Step15_Model1_EQB_CH1,890.719912,1152.754941,Step16_Model2_EQD_CH3,2003.440706,Step17_Model1_EQC_CH3,,7,Step18_Model1_EQB_CH2,987.9888607,,Step19_Model2_EQD_CH2,849.3970462,9,Step20_Model1_EQB_CH3,,11,Step21_Model2_EQC_CH3,1978.554733,2628.757448,618.8151294,Step22_Model1_EQC_CH2,2455.599097,845.7581863,1178.21968,Step23_Model2_EQA_CH3,1557.684357,Step24_Model2_EQD_CH1,784.1919644,,,Step25_Model1_EQB_CH2,2487.527844,Step26_Model1_EQB_CH1,,1761.082728,989.6322907,Step27_Model2_EQB_CH3,2020.108331,1610.855637,2297.789716,Step28_Model1_EQA_CH3,,1497.292595,1777.772131,,Step29_Model2_EQC_CH1,2480.97257,1318.443855,1476.693992,Step30_Model2_EQC_CH3,0,23.3,25.2,21.8,22.5,21.3,27,0,90,29,145
L119W20,,2561.656186,,Step1_Model1_EQA_CH1,2018.068228,Step2_Model1_EQD_CH3,2604.132959,13,Step3_Model2_EQB_CH4,,676.8265697,859.1933904,Step4_Model2_EQB_CH4,946.0554079,,Step5_Model2_EQB_CH3,945.6065818,Step6_Model1_EQD_CH1,1952.372977,7,Step7_Model1_EQD_CH2,1599.033749,Step8_Model1_EQC_CH1,725.9444919,2020.313125,,Step9_Model2_EQA_CH1,814.0169056,,Step10_Model1_EQC_CH4,1514.168514,680.7786287,,Step11_Model2_EQB_CH2,2227.35009,,1080.880855,,Step12_Model1_EQA_CH2,1191.22175,,660.8820205,16,Step13_Model1_EQC_CH1,,Step14_Model2_EQD_CH3,2140.843702,,1860.936718,Step15_Model1_EQB_CH2,841.5834305,1096.861048,Step16_Model2_EQD_CH3,1950.825539,Step17_Model1_EQC_CH4,2316.348975,9,Step18_Model1_EQB_CH1,1002.066596,6,Step19_Model2_EQD_CH3,750.8786996,7,Step20_Model1_EQB_CH4,2208.012518,13,Step21_Model2_EQC_CH3,,,663.9550971,Step22_Model1_EQC_CH1,,866.0941928,,Step23_Model2_EQA_CH1,1582.17628,Step24_Model2_EQD_CH1,,1917.423808,1163.218524,Step25_Model1_EQB_CH4,,Step26_Model1_EQB_CH4,,2019.436284,896.5077784,Step27_Model2_EQB_CH2,1959.110533,1673.280546,2431.654279,Step28_Model1_EQA_CH1,613.3749056,,1828.209184,12,Step29_Model2_EQC_CH4,,,,Step30_Model2_EQC_CH4,0,27.6,27.2,26.1,27.2,27.2,3,9,0,65,3
L119W21,747.75189,2305.46103,1613.889447,Step1_Model1_EQA_CH2,2063.539145,Step2_Model1_EQD_CH3,2571.776907,,Step3_Model2_EQB_CH2,,747.3599692,799.0217714,Step4_Model2_EQB_CH3,1013.182063,,Step5_Model2_EQB_CH3,,Step6_Model1_EQD_CH1,2049.899016,6,Step7_Model1_EQD_CH1,1710.48049,Step8_Model1_EQC_CH2,736.4014661,2107.098145,2192.009642,Step9_Model2_EQA_CH1,782.0258318,14,Step10_Model1_EQC_CH2,1411.291485,687.0907722,609.120585,Step11_Model2_EQB_CH2,2077.015931,2089.929102,1115.102424,,Step12_Model1_EQA_CH1,1126.150896,,,10,Step13_Model1_EQC_CH4,2121.889079,Step14_Model2_EQD_CH4,2058.409746,,,Step15_Model1_EQB_CH1,916.8184895,1185.523668,Step16_Model2_EQD_CH3,1997.871996,Step17_Model1_EQC_CH1,2350.167434,7,Step18_Model1_EQB_CH3,1005.34075,,Step19_Model2_EQD_CH4,810.0833685,11,Step20_Model1_EQB_CH1,,9,Step21_Model2_EQC_CH3,2098.736057,,659.8023542,Step22_Model1_EQC_CH3,,918.7864317,1245.488876,Step23_Model2_EQA_CH3,1594.19882,Step24_Model2_EQD_CH2,900.6078983,1818.14256,1146.077972,Step25_Model1_EQB_CH2,2415.37111,Step26_Model1_EQB_CH4,1758.276612,,905.6902143,Step27_Model2_EQB_CH1,1867.325386,,,Step28_Model1_EQA_CH1,660.1444531,,1689.627147,6,Step29_Model2_EQC_CH1,,1303.865431,,Step30_Model2_EQC_CH3,0,38.1,36.7,40.2,40.3,41.4,4,216,10,167,376
L119W22,823.9676389,2428.966242,1606.483458,Step1_Model1_EQA_CH2,2514.994336,Step2_Model1_EQD_CH1,2622.717541,14,Step3_Model2_EQB_CH2,1031.170532,667.4307512,715.7706921,Step4_Model2_EQB_CH1,,,Step5_Model2_EQB_CH3,1063.584892,Step6_Model1_EQD_CH4,2171.671947,,Step7_Model1_EQD_CH1,,Step8_Model1_EQC_CH3,784.6825887,1919.967322,2076.263967,Step9_Model2_EQA_CH2,,,Step10_Model1_EQC_CH1,1554.90143,696.6088858,623.1258642,Step11_Model2_EQB_CH3,,2062.128936,1092.980512,,Step12_Model1_EQA_CH2,1175.122093,,,,Step13_Model1_EQC_CH3,3612.152486,Step14_Model2_EQD_CH2,2094.706021,705.4806516,1754.020102,Step15_Model1_EQB_CH2,,1130.518658,Step16_Model2_EQD_CH1,,Step17_Model1_EQC_CH4,2417.351562,12,Step18_Model1_EQB_CH1,1034.164269,4,Step19_Model2_EQD_CH2,856.2212154,10,Step20_Model1_EQB_CH2,,,Step21_Model2_EQC_CH4,2037.463999,2519.611021,560.0317283,Step22_Model1_EQC_CH4,2505.926504,913.8955583,1137.782479,Step23_Model2_EQA_CH1,1467.127937,Step24_Model2_EQD_CH2,960.4308684,1890.877794,1245.005137,Step25_Model1_EQB_CH1,2210.518097,Step26_Model1_EQB_CH1,1662.535983,1849.217577,897.8412648,Step27_Model2_EQB_CH4,1936.54167,1652.064122,2343.353099,Step28_Model1_EQA_CH3,736.274242,,1870.173743,,Step29_Model2_EQC_CH1,2314.017751,,,Step30_Model2_EQC_CH2,0,28.4,23.1,23.1,26.1,23.6,1,31,11,180,996
