Lot_Wafer_ID,Lot_ID,Wafer_Slot,Step1_Config,Step2_Config,Step3_Config,Step4_Config,Step5_Config,Step6_Config,Step7_Config,Step8_Config,Step9_Config,Step10_Config,Step11_Config,Step12_Config,Step13_Config,Step14_Config,Step15_Config,Step16_Config,Step17_Config,Step18_Config,Step19_Config,Step20_Config,Step21_Config,Step22_Config,Step23_Config,Step24_Config,Step25_Config,Step26_Config,Step27_Config,Step28_Config,Step29_Config,Step30_Config,Step1_R1,Step2_R1,Step3_R1,Step4_R1,Step4_R2,Step5_R1,Step6_R1,Step6_R2,Step7_R1,Step7_R2,Step8_R1,Step9_R1,Step9_R2,Step10_R1,Step11_R1,Step12_R1,Step12_R2,Step13_R1,Step13_R2,Step13_R3,Step14_R1,Step14_R2,Step14_R3,Step15_R1,Step15_R2,Step16_R1,Step17_R1,Step18_R1,Step19_R1,Step20_R1,Step21_R1,Step22_R1,Step22_R2,Step22_R3,Step23_R1,Step24_R1,Step24_R2,Step25_R1,Step25_R2,Step25_R3,Step26_R1,Step27_R1,Step28_R1,Step28_R2,Step28_R3,Step29_R1,Step29_R2,Step30_R1,Step1_D1,Step6_D1,Step8_D1,Step11_D1,Step13_D1,Step14_D1,Step21_D1,Step22_D1,Step27_D1,Step30_D1,Y,Y1,Y2,Y3,Y4,Y5
L001W11,L001,11,Step1_Model3_EQC_CH2,Step2_Model1_EQA_CH3,Step3_Model2_EQA_CH2,Step4_Model3_EQC_CH3,Step5_Model1_EQC_CH4,Step6_Model3_EQA_CH1,Step7_Model1_EQC_CH1,Step8_Model3_EQC_CH4,Step9_Model2_EQB_CH1,Step10_Model2_EQA_CH4,Step11_Model2_EQA_CH4,Step12_Model1_EQB_CH4,Step13_Model2_EQB_CH1,Step14_Model3_EQB_CH3,Step15_Model3_EQA_CH4,Step16_Model3_EQB_CH2,Step17_Model1_EQA_CH1,Step18_Model1_EQC_CH4,Step19_Model2_EQA_CH4,Step20_Model1_EQA_CH2,Step21_Model3_EQC_CH3,Step22_Model2_EQC_CH3,Step23_Model1_EQB_CH3,Step24_Model1_EQA_CH4,Step25_Model3_EQB_CH4,Step26_Model3_EQC_CH4,Step27_Model2_EQA_CH1,Step28_Model1_EQB_CH2,Step29_Model1_EQB_CH4,Step30_Model2_EQC_CH2,,37.53,,42.99,,53.55,,,,,,,41.98,38.05,,,,48.06,,,,,,,,,,,,42.19,,,,,,55.98,,59.18,,57.46,,,,,,,,40.41,,,,,11,,,,,,,,,,,
L001W12,L001,12,Step1_Model3_EQC_CH2,Step2_Model1_EQA_CH3,Step3_Model2_EQA_CH1,Step4_Model3_EQC_CH4,Step5_Model1_EQC_CH3,Step6_Model3_EQA_CH3,Step7_Model1_EQC_CH4,Step8_Model3_EQC_CH2,Step9_Model2_EQB_CH3,Step10_Model2_EQA_CH2,Step11_Model2_EQA_CH1,Step12_Model1_EQB_CH2,Step13_Model2_EQB_CH1,Step14_Model3_EQB_CH2,Step15_Model3_EQA_CH3,Step16_Model3_EQB_CH3,Step17_Model1_EQA_CH1,Step18_Model1_EQC_CH4,Step19_Model2_EQA_CH1,Step20_Model1_EQA_CH1,Step21_Model3_EQC_CH2,Step22_Model2_EQC_CH2,Step23_Model1_EQB_CH1,Step24_Model1_EQA_CH3,Step25_Model3_EQB_CH2,Step26_Model3_EQC_CH4,Step27_Model2_EQA_CH2,Step28_Model1_EQB_CH2,Step29_Model1_EQB_CH4,Step30_Model2_EQC_CH1,,,45.16,,,,,,,,,37.84,,47.09,,,,,,,,,,,,,,,,,,47.19,,,,,,,,,,,,67.46,,,,,,,,,,,,,,,,,,,,
L001W13,L001,13,Step1_Model3_EQC_CH4,Step2_Model1_EQA_CH1,Step3_Model2_EQA_CH1,Step4_Model3_EQC_CH1,Step5_Model1_EQC_CH4,Step6_Model3_EQA_CH1,Step7_Model1_EQC_CH3,Step8_Model3_EQC_CH4,Step9_Model2_EQB_CH3,Step10_Model2_EQA_CH1,Step11_Model2_EQA_CH2,Step12_Model1_EQB_CH1,Step13_Model2_EQB_CH3,Step14_Model3_EQB_CH3,Step15_Model3_EQA_CH4,Step16_Model3_EQB_CH2,Step17_Model1_EQA_CH4,Step18_Model1_EQC_CH3,Step19_Model2_EQA_CH1,Step20_Model1_EQA_CH2,Step21_Model3_EQC_CH1,Step22_Model2_EQC_CH1,Step23_Model1_EQB_CH2,Step24_Model1_EQA_CH4,Step25_Model3_EQB_CH1,Step26_Model3_EQC_CH3,Step27_Model2_EQA_CH1,Step28_Model1_EQB_CH2,Step29_Model1_EQB_CH2,Step30_Model2_EQC_CH2,,,,,46.44,,65.46,,,,,,,,,,,,47.9,,42.97,,,44.3,,,,62.69,,,,,,,,,64.47,,,,30,,,,,,,,,,,16,,,,,,,,,,,,
L001W14,L001,14,Step1_Model3_EQC_CH4,Step2_Model1_EQA_CH1,Step3_Model2_EQA_CH4,Step4_Model3_EQC_CH4,Step5_Model1_EQC_CH2,Step6_Model3_EQA_CH2,Step7_Model1_EQC_CH4,Step8_Model3_EQC_CH1,Step9_Model2_EQB_CH3,Step10_Model2_EQA_CH4,Step11_Model2_EQA_CH1,Step12_Model1_EQB_CH2,Step13_Model2_EQB_CH2,Step14_Model3_EQB_CH1,Step15_Model3_EQA_CH3,Step16_Model3_EQB_CH2,Step17_Model1_EQA_CH2,Step18_Model1_EQC_CH2,Step19_Model2_EQA_CH1,Step20_Model1_EQA_CH4,Step21_Model3_EQC_CH2,Step22_Model2_EQC_CH4,Step23_Model1_EQB_CH3,Step24_Model1_EQA_CH2,Step25_Model3_EQB_CH2,Step26_Model3_EQC_CH3,Step27_Model2_EQA_CH2,Step28_Model1_EQB_CH4,Step29_Model1_EQB_CH1,Step30_Model2_EQC_CH4,,,,,,,,,,,35.35,,,32.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L001W15,L001,15,Step1_Model3_EQC_CH1,Step2_Model1_EQA_CH1,Step3_Model2_EQA_CH4,Step4_Model3_EQC_CH4,Step5_Model1_EQC_CH4,Step6_Model3_EQA_CH4,Step7_Model1_EQC_CH3,Step8_Model3_EQC_CH2,Step9_Model2_EQB_CH1,Step10_Model2_EQA_CH4,Step11_Model2_EQA_CH4,Step12_Model1_EQB_CH4,Step13_Model2_EQB_CH3,Step14_Model3_EQB_CH4,Step15_Model3_EQA_CH4,Step16_Model3_EQB_CH4,Step17_Model1_EQA_CH2,Step18_Model1_EQC_CH3,Step19_Model2_EQA_CH4,Step20_Model1_EQA_CH1,Step21_Model3_EQC_CH1,Step22_Model2_EQC_CH1,Step23_Model1_EQB_CH3,Step24_Model1_EQA_CH3,Step25_Model3_EQB_CH1,Step26_Model3_EQC_CH4,Step27_Model2_EQA_CH3,Step28_Model1_EQB_CH1,Step29_Model1_EQB_CH1,Step30_Model2_EQC_CH4,,,,,,,,,,,,,,,,,,,,,,,36.13,,,,,,,50.88,,,,44.44,,58.77,,,64.58,,,,,,60.3,,50.49,,,,,,,,,,,,,,,,,
L001W16,L001,16,Step1_Model3_EQC_CH2,Step2_Model1_EQA_CH3,Step3_Model2_EQA_CH4,Step4_Model3_EQC_CH1,Step5_Model1_EQC_CH1,Step6_Model3_EQA_CH4,Step7_Model1_EQC_CH3,Step8_Model3_EQC_CH2,Step9_Model2_EQB_CH2,Step10_Model2_EQA_CH1,Step11_Model2_EQA_CH3,Step12_Model1_EQB_CH2,Step13_Model2_EQB_CH3,Step14_Model3_EQB_CH3,Step15_Model3_EQA_CH1,Step16_Model3_EQB_CH2,Step17_Model1_EQA_CH4,Step18_Model1_EQC_CH1,Step19_Model2_EQA_CH2,Step20_Model1_EQA_CH2,Step21_Model3_EQC_CH2,Step22_Model2_EQC_CH2,Step23_Model1_EQB_CH2,Step24_Model1_EQA_CH3,Step25_Model3_EQB_CH1,Step26_Model3_EQC_CH3,Step27_Model2_EQA_CH4,Step28_Model1_EQB_CH2,Step29_Model1_EQB_CH1,Step30_Model2_EQC_CH2,,,,,,,,,,,,,,,,,,47.59,,,42.56,,,,,,31.64,,,,,44.61,,,49.42,,,58.91,,,,,,,,,51.47,,,15,,,,,,,,,,,,,,
L001W17,L001,17,Step1_Model3_EQC_CH1,Step2_Model1_EQA_CH3,Step3_Model2_EQA_CH1,Step4_Model3_EQC_CH4,Step5_Model1_EQC_CH4,Step6_Model3_EQA_CH1,Step7_Model1_EQC_CH1,Step8_Model3_EQC_CH1,Step9_Model2_EQB_CH1,Step10_Model2_EQA_CH4,Step11_Model2_EQA_CH2,Step12_Model1_EQB_CH1,Step13_Model2_EQB_CH1,Step14_Model3_EQB_CH4,Step15_Model3_EQA_CH4,Step16_Model3_EQB_CH3,Step17_Model1_EQA_CH1,Step18_Model1_EQC_CH3,Step19_Model2_EQA_CH4,Step20_Model1_EQA_CH4,Step21_Model3_EQC_CH2,Step22_Model2_EQC_CH1,Step23_Model1_EQB_CH3,Step24_Model1_EQA_CH4,Step25_Model3_EQB_CH4,Step26_Model3_EQC_CH3,Step27_Model2_EQA_CH2,Step28_Model1_EQB_CH4,Step29_Model1_EQB_CH1,Step30_Model2_EQC_CH4,,32.52,,,44.81,,,,,,,,,,46.27,,,,,,,,,,,,,,,,,,47.84,52.03,,,75.63,,,,,57.13,,53.58,,,,,,,,,,,,,,,,,,,,
L001W18,L001,18,Step1_Model3_EQC_CH1,Step2_Model1_EQA_CH3,Step3_Model2_EQA_CH1,Step4_Model3_EQC_CH3,Step5_Model1_EQC_CH1,Step6_Model3_EQA_CH3,Step7_Model1_EQC_CH1,Step8_Model3_EQC_CH2,Step9_Model2_EQB_CH1,Step10_Model2_EQA_CH1,Step11_Model2_EQA_CH2,Step12_Model1_EQB_CH4,Step13_Model2_EQB_CH4,Step14_Model3_EQB_CH1,Step15_Model3_EQA_CH2,Step16_Model3_EQB_CH1,Step17_Model1_EQA_CH3,Step18_Model1_EQC_CH3,Step19_Model2_EQA_CH1,Step20_Model1_EQA_CH4,Step21_Model3_EQC_CH4,Step22_Model2_EQC_CH1,Step23_Model1_EQB_CH1,Step24_Model1_EQA_CH3,Step25_Model3_EQB_CH4,Step26_Model3_EQC_CH1,Step27_Model2_EQA_CH3,Step28_Model1_EQB_CH4,Step29_Model1_EQB_CH2,Step30_Model2_EQC_CH3,,,,,,,,,,,,,,38.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.37,,,,52.11,,,,,,,,,,,,,,,,,
L001W19,L001,19,Step1_Model3_EQC_CH4,Step2_Model1_EQA_CH4,Step3_Model2_EQA_CH3,Step4_Model3_EQC_CH2,Step5_Model1_EQC_CH3,Step6_Model3_EQA_CH4,Step7_Model1_EQC_CH1,Step8_Model3_EQC_CH1,Step9_Model2_EQB_CH3,Step10_Model2_EQA_CH4,Step11_Model2_EQA_CH1,Step12_Model1_EQB_CH4,Step13_Model2_EQB_CH3,Step14_Model3_EQB_CH1,Step15_Model3_EQA_CH4,Step16_Model3_EQB_CH1,Step17_Model1_EQA_CH3,Step18_Model1_EQC_CH4,Step19_Model2_EQA_CH1,Step20_Model1_EQA_CH3,Step21_Model3_EQC_CH1,Step22_Model2_EQC_CH1,Step23_Model1_EQB_CH2,Step24_Model1_EQA_CH2,Step25_Model3_EQB_CH3,Step26_Model3_EQC_CH2,Step27_Model2_EQA_CH3,Step28_Model1_EQB_CH2,Step29_Model1_EQB_CH1,Step30_Model2_EQC_CH3,,,,,,,,,,,,,,,,,,,,58.7,,,,,,,,,58.46,,,44.05,,40.98,,,,,59.84,,,,,,,,49.03,32.21,,,,,,,,,,,,,,,,
L001W20,L001,20,Step1_Model3_EQC_CH3,Step2_Model1_EQA_CH1,Step3_Model2_EQA_CH3,Step4_Model3_EQC_CH3,Step5_Model1_EQC_CH2,Step6_Model3_EQA_CH3,Step7_Model1_EQC_CH4,Step8_Model3_EQC_CH1,Step9_Model2_EQB_CH2,Step10_Model2_EQA_CH2,Step11_Model2_EQA_CH4,Step12_Model1_EQB_CH1,Step13_Model2_EQB_CH1,Step14_Model3_EQB_CH2,Step15_Model3_EQA_CH3,Step16_Model3_EQB_CH2,Step17_Model1_EQA_CH1,Step18_Model1_EQC_CH4,Step19_Model2_EQA_CH2,Step20_Model1_EQA_CH1,Step21_Model3_EQC_CH2,Step22_Model2_EQC_CH3,Step23_Model1_EQB_CH2,Step24_Model1_EQA_CH2,Step25_Model3_EQB_CH1,Step26_Model3_EQC_CH1,Step27_Model2_EQA_CH1,Step28_Model1_EQB_CH2,Step29_Model1_EQB_CH3,Step30_Model2_EQC_CH4,,,,,39.63,,64.86,,,,,,,,45.51,61.08,,,,43.74,,,,,,,,61.1,,49.51,,,47.28,,,,,,,,,,,63.07,,,,34.88,,,,,,9,,,,,,,,,,
L001W21,L001,21,Step1_Model3_EQC_CH4,Step2_Model1_EQA_CH1,Step3_Model2_EQA_CH1,Step4_Model3_EQC_CH2,Step5_Model1_EQC_CH4,Step6_Model3_EQA_CH1,Step7_Model1_EQC_CH3,Step8_Model3_EQC_CH3,Step9_Model2_EQB_CH1,Step10_Model2_EQA_CH1,Step11_Model2_EQA_CH4,Step12_Model1_EQB_CH4,Step13_Model2_EQB_CH2,Step14_Model3_EQB_CH4,Step15_Model3_EQA_CH3,Step16_Model3_EQB_CH3,Step17_Model1_EQA_CH1,Step18_Model1_EQC_CH4,Step19_Model2_EQA_CH2,Step20_Model1_EQA_CH3,Step21_Model3_EQC_CH3,Step22_Model2_EQC_CH2,Step23_Model1_EQB_CH2,Step24_Model1_EQA_CH3,Step25_Model3_EQB_CH3,Step26_Model3_EQC_CH2,Step27_Model2_EQA_CH3,Step28_Model1_EQB_CH1,Step29_Model1_EQB_CH1,Step30_Model2_EQC_CH2,45.79,,44.65,,,,,69.34,,,,,,,,,,,,,,,40.39,,,,,59.72,,,,42.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L001W22,L001,22,Step1_Model3_EQC_CH4,Step2_Model1_EQA_CH2,Step3_Model2_EQA_CH2,Step4_Model3_EQC_CH4,Step5_Model1_EQC_CH4,Step6_Model3_EQA_CH4,Step7_Model1_EQC_CH1,Step8_Model3_EQC_CH3,Step9_Model2_EQB_CH1,Step10_Model2_EQA_CH3,Step11_Model2_EQA_CH1,Step12_Model1_EQB_CH3,Step13_Model2_EQB_CH1,Step14_Model3_EQB_CH4,Step15_Model3_EQA_CH2,Step16_Model3_EQB_CH1,Step17_Model1_EQA_CH3,Step18_Model1_EQC_CH4,Step19_Model2_EQA_CH1,Step20_Model1_EQA_CH1,Step21_Model3_EQC_CH4,Step22_Model2_EQC_CH1,Step23_Model1_EQB_CH2,Step24_Model1_EQA_CH1,Step25_Model3_EQB_CH2,Step26_Model3_EQC_CH2,Step27_Model2_EQA_CH4,Step28_Model1_EQB_CH1,Step29_Model1_EQB_CH4,Step30_Model2_EQC_CH1,,,,,,,62.69,,,,,,,,,,,,46.34,,34.69,,,,,,,,,,,,,,58.25,,,,,,,50.7,59.72,,,,,,,,,,,,,,,,,,,,,
